ID,gender,name
8240690,undefined,the Shield of Eurypylos (dedicated at Lindos)
8189339,male,Porphyrion (giant)
8240692,undefined,the Phiale of Tlepolemos (dedicated at Lindos)
8240693,undefined,the Golden Drinking Cup of Rhesos (dedicated at Lindos)
8240694,undefined,the Phiale of Telephos (dedicated at Lindos)
8240695,undefined,Weaponry taken from Troy by the Rhodian Contingent (dedicated at Lindos)
8240696,undefined,the Leather Cap of Alexander (dedicated at Lindos)
8189338,male,Pontos (personification of the Black Sea)
8240698,undefined,the Bracelets of Helen (dedicated at Lindos)
8240699,male,Canopos (helmsman of Menelaos)
8190065,male,Tegyrios (king of Thrace)
8187874,male,Atromos (son of Heracles)
8187875,female,Atropos (one of the Moirai)
8187876,female,Atthis (daughter of Cranaos)
8189299,male,Polyanax (king of Melos)
8187870,female,Athena Minerva (Olympian god)
8187871,female,the Atlantids (daughters of Atlas)
8187872,male,Atlas (holds up the sky as punishment)
8187873,male,"Atreus (son of Pelops, father of Agamemnon and Menelaos)"
8189292,female,Podarce (Danaid)
8189293,male,Podarces (Priam's original name)
8189290,male,Plexippos (son of Phineus)
8189291,male,Podaleirios (Greek leader at Troy)
8187878,female,Auge (mother of Telephos)
8187879,male,"Augeias Augeas (Argonaut, king of Elis)"
8189294,male,Podarces (son of Iphiclos)
8189295,male,Poias Poeas (Argonaut)
8188105,male,Ctesippos (suitor of Penelope from Same)
8188104,male,Ctesios (suitor of Penelope)
8188107,male,Ctesippos (son of Heracles and Deianeira)
8188106,male,Ctesippos (suitor of Penelope from Ithaca)
8188101,male,Croisos (historical king of Lydia)
8188100,male,Crocon (father of Meganeira)
8188103,male,Cteatos Cteatus (conjoined twin of Eurytos)
8188102,male,"Cronos Saturn (Titan, father of Zeus)"
8190060,male,Taphios (son of Poseidon and Hippothoe)
8188109,male,Cyanippos (son of Adrastos)
8188108,male,Ctesippos (son of Heracles and Astydameia)
8190275,undefined,the Dardanian contingent at Troy()
8195200,undefined,Phocis() 541048
8189333,male,Polyxenos (son of Agasthenes)
8254038,undefined,Messenia Messene (region in Peloponnese) 570480
8189332,female,Polyxene (daughter of Priam)
8189186,male,Periclymenos (son of Poseidon)
8189187,male,Periclymenos (suitor of Penelope)
8189184,female,Periboia (mother of Penelope)
8189185,male,Periclymenos (Argonaut)
8189182,female,Periboia (daughter of Hipponoos)
8189183,female,Periboia (Locrian virgin sent to Troy)
8189180,female,"Periboia (wife of Telamon, mother of Aias)"
8189181,female,"Periboia (wife of Polybos, Oidipous' foster mother)"
8190068,male,Telchis (conspirator against Apis)
8254037,undefined,Naupactos() 540960
8189188,male,Perieres (charioteer of Menoiceus)
8189189,male,Perieres (son of Aiolos or Cynortas)
8254036,undefined,Mount Oita (in Trachis)
8190210,undefined,the Thread of Ariadne()
8254031,undefined,Ephyra() 530870
8254030,undefined,Thesprotia() 531117
8188211,female,Eileithyiai (deities of childbirth)
8188210,female,Eileithyia (daughter of Zeus and Hera)
8188213,female,Eirene Irene (one of the Horai)
8188212,female,Eione (Nereid)
8188215,female,Elais (daughter of Anios)
8188214,female,Elacheia (daughter of Thespios)
8188217,male,Elatos (father of Polyphemos)
8188216,female,Elare (mother of Tityos)
8188219,male,"Elatos (son of Arcas, father of Ischys)"
8188218,male,Elatos (father of Ampycus)
8254032,undefined,Sardinia (Island) 472014
9055292,undefined,Hyperborea (Place)
8195196,undefined,Boiotia() 540689
8181999,male,Abas (son of Lynceus)
9356955,undefined,Messene Ithome (city in Messenia) 570479
9372779,undefined,Dodona() 530843
9364201,undefined,the Bow of Odysseus (used to test the suitors)
9055617,undefined,Phthia() 541052
8189076,female,Oreia (daughter of Thespios)
8189077,female,Oreithyia (daughter of Erechtheus)
8189078,male,Orestes (son of Agamemnon and Clytaimnestra)
8189079,male,Orestes (son of Acheloos)
8189274,female,Phylonoe (daughter of Tyndareos)
8189275,male,Phylonomos (son of Electryon)
8189276,male,Physios (son of Lycaon)
8189277,female,Pieria (mother of some Danaids)
8189270,female,Phyleis (daughter of Thespios)
8189271,male,Phyleus (son of Augeias)
8189272,female,Phyllis (daughter of Thracian king)
8189273,female,Phylomache (daughter of Amphion)
8189278,female,Pieris (slave of Menelaos)
8189279,male,Pieros (son of Magnes)
8182099,male,Alcaios (son of Androgeos)
8182098,male,Alcaios (son of Perseus)
9364256,undefined,Ephyra (original name of Corinth) 570182
8182091,female,Aischreis (daughter of Thespios)
8182090,male,Aisacos (son of Priam)
8182093,female,Aithousa (daughter of Alcyone)
8182092,male,"Aison (son of Cretheus, father of Jason)"
8182095,female,Aithylla (daughter of Laomedon)
8182094,female,"Aithra (daughter of Pittheus, mother of Theseus)"
8182097,male,Alastor (son of Neleus)
8182096,male,Aitolos (eponym of the Aitolians)
8228869,undefined,Doulichion (near Acarnania and the Ionian Sea) 530845
8194699,undefined,the Golden Apple (thrown by Eris; prize for the goddesses)
8254000,undefined,Gadeira (in Spain) 256177
8182165,male,Amyclas (son of Lacedaimon)
8182164,male,Amphoteros (son of Alcmaion)
8182167,male,Amycos (son of Poseidon)
8182166,male,Amyclas (son of Amphion and Niobe)
8182161,female,"Amphitrite (Oceanid, wife of Poseidon)"
8182160,female,Amphithea (wife of Lycourgos)
8182163,male,Amphitryon (mortal father of Heracles)
8182162,female,Amphitrite (Nereid)
8182169,male,Amyntor (king of Ormenion)
8182168,female,"Amymone (Danaid, mother of Nauplios)"
8254001,undefined,Tartessos (in Spain) 256468
8254002,undefined,Mount Abas (near Erytheia)
8189850,male,Mygdon (king of the Bebryces)
8189851,male,Mylios (son of Priam)
8189852,male,Mynes (fathers of Pedias)
8189853,male,Myrmidon (son of Zeus)
8189854,male,Myrtilos (son of Hermes)
8189855,male,Nastes (son of Nomion)
8189856,male,Naubolos (father of Iphitos)
8189857,female,Naucrate (slave of Minos)
8189858,male,Nauplios (son of Poseidon)
8189859,female,Nausicaa (daughter of Alcinoos)
8254003,undefined,Abderia (in Spain) 265762
8188589,male,"Iolaos (son of Iphicles, companion of Heracles)"
8188588,female,Iocaste Jocasta (mother and wife of Oidipous)
8188581,male,Imbros (son of Aigyptos)
8188580,male,Ilos (son of Tros)
8188583,male,Inachos (river god in Argos)
8188582,male,Imeusimos (son of Icarios)
8188585,female,"Ino (daughter of Cadmos, becomes goddess Leucothea)"
8188584,male,Indios (suitor of Penelope)
8188587,male,Iobes (son of Heracles)
8188586,male,Iobates (king of Lycia)
8358920,female,Dione (Nereid)
8195169,undefined,Zelia() 511461
8254005,undefined,River Anthemous() 491522
8195680,undefined,River Axios() 491534
8188457,male,Halipheros (son of Lycaon)
8188456,male,Halios (suitor of Penelope)
8188455,female,Halimede (Nereid)
8188454,female,Halie (Nereid)
8188453,male,Haimonios (father of Amaltheia)
8188452,male,Haimon (son of Lycaon)
8188451,male,Haimon Haemon (son of Creon)
8188450,male,Hagnias (father of Tiphys)
8189986,male,Sceiron (father of Endeis)
8189987,male,Schedios (son of Iphitos)
8189984,male,Scaios (son of Hippocoon)
8189985,male,Scamandros (river god near Troy)
8189982,male,the Satyrs (companions of Dionysos)
8189983,female,Scaia (Danaid)
8188459,male,Halocrates (son of Heracles)
8188458,male,Halirrhothios (son of Poseidon)
8190179,male,Zetes (Argonaut)
8190178,male,Zelos (personification of rivalry)
8190175,female,Xenodice (daughter of Minos)
8190174,male,Xenodamos (son of Menelaos)
8190177,male,Xouthos Xuthus (son of Hellen)
8190176,female,Xenodoce (daughter of Syleus)
8190171,male,Xanthippos (son of Melas)
8190170,female,Xanthippe (daughter of Doros)
8190173,male,Xanthos (immortal horse)
8190172,female,Xanthis (daughter of Thespios)
8254152,undefined, Dipoinos Dipoenus (Constructed image of Athena at Kleonai)
8254153,female, [Wife of Daidalos from Gortyn]()
8254150,undefined,the River Asopos Asopus (River near Sicyon) 570131
8254151,undefined, Skyllis (Constructed image of Athena at Kleonai)
8254154,undefined,Gortyn() 589796
8189678,female,Leto (mother of Artemis and Apollo)
8189679,female,Leucippe (wife of Laomedon)
8189670,male,Leiocritos (suitor of Penelope)
8189671,male,Leiodes (suitor of Penelope)
8189672,male,"Leitos (Argonaut, Greek leader at Troy)"
8189673,male,Lelex (father of Eurotas)
8189674,male,Leon (son of Lycaon)
8189675,male,Leonteus (Greek leader at Troy)
8189676,male,Leontophonos (son of Odysseus)
8189677,male,Lestorides (suitor of Penelope)
8254009,undefined,River Strymon() 501629
8188026,female,Circe (sorceress)
8188027,male,Cisseus (father of Hecabe)
8188024,female,Cilla (daughter of Laomedon)
8188025,male,Cinyras (father of Adonis)
8188022,male,Chthonios (son of Aigyptos)
8188023,male,Cilix (eponym of Cilicia)
8188020,female,Chthonia (daughter of Erechtheus)
8188021,male,Chthonios (one of the surviving Spartaoi)
8188028,male,Cisseus (son of Aigyptos)
8188029,undefined,the Cithaironian Lion (lion killed by Heracles)
8189919,male,Oloitrochos (suitor of Penelope)
8189918,male,Olenias (brother of Tydeus)
9055627,undefined,Thessaly() 1332
8187841,female,Asteria (daughter of Coios and Phoibe)
8187840,male,Astacos (a Theban)
8187843,male,Asterios (king of Crete)
8187842,female,Asteria (Danaid)
8187845,male,Asterios (son of Neleus)
8187844,male,Asterios (son of Cometes)
8187847,male,Asteropaios (son of Pelegon)
8187846,female,Asterodia (daughter of Deion)
8187849,male,Astraios (son of Creios and Eurybia)
8187848,female,Asterope (daughter of Cebren)
8189913,male,Oinomaos (king of Pisa)
8188112,undefined,the Cyclopes (creatures encountered by Odysseus)
8188113,undefined,the Cyclopes (fortifiers of Tiryns)
8188110,male,Cychreus (son of Poseidon)
8188111,male,"the Cyclopes (sons of Ouranos and Ge, makers of Zeus' thunderbolts)"
8188116,male,Cycnos (father of Tenes)
8188117,male,Cycnos (suitor of Penelope)
8188114,male,"Cycnos Cygnus (son of Ares and Pyrene, killed by Heracles)"
8188115,male,"Cycnos Cygnus (son of Ares and Pelopia, killed by Heracles)"
8188118,female,Cyllene (nymph)
8188119,female,Cymo (Nereid)
8190226,undefined,the Wings of Daidalos (built by Daidalos)
8190052,undefined,the Symplegades (clashing rocks) 521160
8188208,female,Eidomene (wife of Amythaon)
8188209,female,Eidyia (daughter of Oceanos)
8188206,male,Echion (suitor of Penelope)
8188207,male,Eetion (father of Andromache)
8188204,male,Echion (one of the Spartoi)
8188205,male,Echion (son of Portheus)
8188202,female,Echidna (monstrous serpent)
8188203,male,"Echion (Argonaut, Calydonian boar hunter)"
8188200,male,Echephron (son of Nestor)
8188201,male,Echephron (son of Priam)
8190053,male,Talos (bronze guardian of Crete)
8254008,undefined,the Hellespont() 501434
9055602,undefined,Mount Aitna() 462077
9055603,undefined,Mount Nysa()
9055354,undefined,the Breastplate of Athena (made from Pallas' flayed skin)
8189089,female,Otera (Amazon)
8189088,male,Otos (one of the Aloadai)
8189087,male,Orthos (Geryones' two-headed guard dog)
